metric_definition_id	metric_name	display_name	function_code	subfunction_code	category_code	type_code	composition_code	direction_code	industry_code	formula_hint	status_code	maturity_code	description_text	tags	created_by_name	updated_by_name	created_at	updated_at	metric_seq	industry_category_code	seed_ref	verification_result_code	verification_evidence_id	purpose_code	shape_code	temporality_code	precision_code	impact_code	shape_params_json	needs_revalidation	locked_by	locked_at	discipline_code	readiness_min_snapshots	readiness_max_freshness_days	temporality_kind
f5d4fecb-62b2-4c47-80e9-f666d33d3e13	audit_recommendation_prioritization	Audit Recommendation Prioritization	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	deprecated	classified	The effectiveness of prioritizing audit recommendations based on risk and impact.	{}	\N	\N	2026-04-04 09:39:24.911034+00	2026-04-17 09:56:20.876061+00	5861	\N	audit_recommendation_prioritization	green	\N	performance	scalar	period	final	risk	\N	f	\N	\N	close_and_control	\N	\N	\N
92744214-be2d-48ed-80a6-b82c053c46a7	audit_issue_closure_rate	Audit Issue Closure Rate	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The rate at which audit findings are closed out. It helps ensure that audit findings are addressed promptly and that remedial action is taken where necessary.	{}	\N	\N	2026-04-04 09:39:24.384026+00	2026-04-17 09:56:20.876061+00	5829	\N	audit_issue_closure_rate	green	\N	performance	scalar	period	final	quality	\N	f	\N	\N	close_and_control	\N	\N	\N
752fdc6d-fd92-4a76-a2d4-31dc281c5591	strategic_risk_coverage	Strategic Risk Coverage	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The extent to which strategic risks are covered by the internal audit, ensuring alignment with organizational goals.	{}	\N	\N	2026-04-04 09:39:24.766549+00	2026-04-17 09:56:20.876061+00	5852	\N	strategic_risk_coverage	green	\N	operational	scalar	period	final	risk	\N	f	\N	\N	close_and_control	\N	\N	\N
5a4ffb01-033a-4a74-a49b-5d58af048f01	post_audit_recommendation_follow_up	Post-Audit Recommendation Follow-Up	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	deprecated	classified	The process of checking whether audit recommendations are implemented effectively, ensuring continuous improvement.	{}	\N	\N	2026-04-04 09:39:24.62428+00	2026-04-17 09:56:20.876061+00	5843	\N	post_audit_recommendation_follow_up	green	\N	operational	scalar	period	final	compliance	\N	f	\N	\N	close_and_control	\N	\N	\N
42cd93f3-422b-4adc-9d3b-8bb9956b4f5f	accounts_receivable_turnover_ratio	Accounts Receivable Turnover Ratio	finance	credit_and_collections	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	A measure of how often a company collects its average accounts receivable during a period, indicating the efficiency of the credit and collections process.	{}	\N	\N	2026-04-04 09:39:25.256132+00	2026-04-17 09:53:08.242472+00	5872	\N	accounts_receivable_turnover_ratio	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
e923a6df-8261-4882-a0b7-b4f866989c99	benchmarking_effectiveness	Benchmarking Effectiveness	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The effectiveness of using benchmarks for comparing internal processes and controls against best practices or industry standards.	{}	\N	\N	2026-04-04 09:39:24.821932+00	2026-04-17 09:56:20.876061+00	5855	\N	benchmarking_effectiveness	green	\N	diagnostic	scalar	period	final	quality	\N	f	\N	\N	close_and_control	\N	\N	\N
7e35ea20-673c-41f8-9c2f-04adb9228d76	risk_assessment_effectiveness	Risk Assessment Effectiveness	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	The effectiveness of the internal audit team's risk assessment process. It helps ensure that audits are focused on the areas of greatest risk to the company.	{}	\N	\N	2026-04-04 09:39:24.306676+00	2026-04-17 09:56:20.876061+00	5825	\N	risk_assessment_effectiveness	green	\N	operational	scalar	period	final	risk	\N	f	\N	\N	close_and_control	\N	\N	\N
bd39a293-c565-45dd-9833-45d35d1d1af6	combined_ratio	Combined Ratio	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Loss ratio + expense ratio; below 100% = underwriting profit	{}	\N	\N	2026-04-04 09:41:37.922961+00	2026-04-17 09:56:20.898633+00	6150	\N	combined_ratio	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
fda579e1-8f8e-4346-ba14-19aa340c2b2d	cost_of_deposits	Cost of Deposits	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Interest paid on deposits as % of average deposits	{}	\N	\N	2026-04-04 09:41:38.019781+00	2026-04-17 09:56:20.898633+00	6156	\N	cost_of_deposits	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
eb5c683d-a6e9-4f86-a821-3f980c32c0bc	credit_deposit_ratio	Credit-Deposit Ratio	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Credit deployed as % of deposits mobilized	{}	\N	\N	2026-04-04 09:41:38.275861+00	2026-04-17 09:56:20.898633+00	6172	\N	credit_deposit_ratio	green	\N	efficiency	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
7b43d4ab-a86b-42fa-973e-614090a19874	f_b_cost_percentage	F&B Cost Percentage	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Food and beverage cost as % of F&B revenue	{}	\N	\N	2026-04-04 09:41:38.718952+00	2026-04-17 09:56:20.898633+00	6200	\N	f_b_cost_percentage	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
bf5224df-84fb-4667-8f03-d77a6f46763c	net_farm_income	Net Farm Income	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Total farm revenue minus all operating expenses	{}	\N	\N	2026-04-04 09:41:39.197732+00	2026-04-17 09:56:20.898633+00	6226	\N	net_farm_income	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
62ddddfd-9c07-4314-8d7b-298319cfe0e7	outpatient_revenue_as_of_total	Outpatient Revenue as % of Total	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Revenue from outpatient services as share of total hospital revenue	{}	\N	\N	2026-04-04 09:41:39.504664+00	2026-04-17 09:56:20.898633+00	6244	\N	outpatient_revenue_as_of_total	green	\N	operational	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
31004669-f80f-418b-9836-785b18892fca	payer_mix	Payer Mix	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Distribution of revenue by payer type (Medicare, Medicaid, commercial, self-pay)	{}	\N	\N	2026-04-04 09:41:39.550526+00	2026-04-17 09:56:20.898633+00	6247	\N	payer_mix	green	\N	operational	distribution	period	final	financial	"{\\"bucket_config\\":[{\\"label\\":\\"Payer A\\"},{\\"label\\":\\"Payer B\\"},{\\"label\\":\\"Payer C\\"},{\\"label\\":\\"Payer D\\"}]}"	f	\N	\N	others	\N	\N	\N
25c318f4-d3c7-4071-8544-02b5529c8016	gross_written_premium_gwp	Gross Written Premium (GWP)	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Total premiums written before reinsurance deductions	{}	\N	\N	2026-04-04 09:41:38.824901+00	2026-04-17 09:56:20.898633+00	6206	\N	gross_written_premium_gwp	green	\N	operational	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
12f266bc-cd25-4760-8261-56e2262e7253	insurance_revenue_ifrs_17	Insurance Revenue (IFRS 17)	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Revenue recognized from insurance contracts under new accounting standard	{}	\N	\N	2026-04-04 09:41:38.885099+00	2026-04-17 09:56:20.898633+00	6209	\N	insurance_revenue_ifrs_17	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
954d895e-8ed3-42c5-ae50-0f993db7e2d3	new_business_margin	New Business Margin	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Profit margin on new policies written	{}	\N	\N	2026-04-04 09:41:39.280486+00	2026-04-17 09:56:20.898633+00	6231	\N	new_business_margin	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	others	\N	\N	\N
cf98979d-1616-4b34-a85c-6754e72bca07	average_invoice_value	Average Invoice Value	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	Mean monetary value per invoice. Indicates billing granularity and helps detect shifts in deal size, pricing changes, or billing fragmentation.	{}	\N	\N	2026-04-04 09:41:37.515358+00	2026-04-17 09:56:20.898633+00	6130	\N	average_invoice_value	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
af23172e-e73e-499f-bde5-6b5ccffd0e5a	cash_on_cash_return	Cash-on-Cash Return	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	A rate of return on a real estate investment property based on the cash income earned by the property divided by the total cash investment initially made.	{}	\N	\N	2026-04-04 09:41:37.853295+00	2026-04-17 09:56:20.898633+00	6146	\N	cash_on_cash_return	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
b7ea3633-dcc1-4103-b5e2-69898005b029	cash_ratio	Cash Ratio	finance	general_finance	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	A liquidity ratio that measures a company’s ability to repay its short-term debt with cash and cash equivalents.	{}	\N	\N	2026-04-04 09:41:37.801549+00	2026-04-17 09:56:20.898633+00	6143	\N	cash_ratio	green	\N	performance	scalar	period	final	financial	\N	f	\N	\N	working_capital	\N	\N	\N
b0336deb-5f13-4664-8744-48ebc826cd13	audit_finding_severity_level	Audit Finding Severity Level	finance	internal_audit	\N	\N	primary	higher_is_better	\N	\N	draft	enriched	A categorization of audit findings based on their potential impact and severity, helping prioritize remediation efforts.	{}	\N	\N	2026-04-04 09:39:24.421659+00	2026-04-17 09:56:20.876061+00	5831	\N	audit_finding_severity_level	green	\N	diagnostic	scalar	period	final	risk	\N	f	\N	\N	close_and_control	\N	\N	\N
