scope,repo,path,line,action,token,replacement,reference_class,reason,excerpt,replacement_preview
external_repo,barecount-devhub,barecount-devhub/.claude/desktop-prep-output-c2-2026-06-25/pre-filter-table.md,154,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,- Commit + push branches in `barecount-devhub` and `bc-docs-v3`; open PRs (do NOT merge).,- Commit + push branches in `barecount-devhub` and `bc-docs`; open PRs (do NOT merge).
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,5,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,"## Documentation — bc-docs-v3 (D234: Single Root, D373: v3 cutover)","## Documentation — bc-docs (D234: Single Root, D373: v3 cutover)"
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,7,defer_claude_ecosystem,C:\MyProjects\bc-docs-v3,C:\MyProjects\bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,**SSOT:** `C:\MyProjects\bc-docs-v3` + filesystem + frontmatter. Authority/classification is in each file's YAML frontmatter. DevHub's document index is a derived scan — never the authority.,**SSOT:** `C:\MyProjects\bc-docs` + filesystem + frontmatter. Authority/classification is in each file's YAML frontmatter. DevHub's document index is a derived scan — never the authority.
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,9,defer_claude_ecosystem,C:\MyProjects\bc-docs-v3,C:\MyProjects\bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,"Path: `C:\MyProjects\bc-docs-v3`. Per DEC-3395bc (D373) and DEC-c06f41 (D378) the v3 layout is flat under `docs/`: one home (`overview/`) plus eight section folders (`foundation/`, `operating-model/`, `implementation/...","Path: `C:\MyProjects\bc-docs`. Per DEC-3395bc (D373) and DEC-c06f41 (D378) the v3 layout is flat under `docs/`: one home (`overview/`) plus eight section folders (`foundation/`, `operating-model/`, `implementation/`,..."
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,76,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,"Every architectural, data, contract, boundary, or behavior-changing fix is tested against the six invariants from `bc-docs-v3/docs/foundation/the-invariants.md`. Trivial edits — typos, formatting, comments, test-only...","Every architectural, data, contract, boundary, or behavior-changing fix is tested against the six invariants from `bc-docs/docs/foundation/the-invariants.md`. Trivial edits — typos, formatting, comments, test-only ref..."
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,140,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,- Invariant text + check matrix: `bc-docs-v3/docs/foundation/the-invariants.md`,- Invariant text + check matrix: `bc-docs/docs/foundation/the-invariants.md`
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,141,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,- Boundary inventory + boundary-independent rules: `bc-docs-v3/docs/foundation/the-evaluation-boundaries.md`,- Boundary inventory + boundary-independent rules: `bc-docs/docs/foundation/the-evaluation-boundaries.md`
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,142,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,- Contract grammar + twelve artifacts: `bc-docs-v3/docs/foundation/the-contract-grammar.md`,- Contract grammar + twelve artifacts: `bc-docs/docs/foundation/the-contract-grammar.md`
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,143,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,- Override pattern: `bc-docs-v3/docs/adrs/ADR-804874.md` (D366) §4,- Override pattern: `bc-docs/docs/adrs/ADR-804874.md` (D366) §4
external_repo,barecount-devhub,barecount-devhub/CLAUDE.md,144,defer_claude_ecosystem,bc-docs-v3,bc-docs,claude_handoff_or_memory,Claude-facing instruction or memory; replace only after active Claude sessions are stopped.,- Discipline rules 1–10: `bc-docs-v3/docs/adrs/ADR-ebf0b4.md` (D268),- Discipline rules 1–10: `bc-docs/docs/adrs/ADR-ebf0b4.md` (D268)
